method,checkpoint,run_id,task_name,seed,trainable_params,total_params,bottleneck_size,rank,topk,accuracy
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-8-n_epochs-10-seed-4,mnli,4,354243,109795776,8,,,0.8088639836984208
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-16-n_epochs-10-seed-0,mnli,0,649347,110090880,16,,,0.8208863983698421
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-16-n_epochs-10-seed-1,mnli,1,649347,110090880,16,,,0.8149770759042282
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-16-n_epochs-10-seed-2,mnli,2,649347,110090880,16,,,0.822414671421294
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-16-n_epochs-10-seed-3,mnli,3,649347,110090880,16,,,0.8149770759042282
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-16-n_epochs-10-seed-4,mnli,4,649347,110090880,16,,,0.8132450331125828
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-32-n_epochs-10-seed-0,mnli,0,1239555,110681088,32,,,0.8267957208354559
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-32-n_epochs-10-seed-1,mnli,1,1239555,110681088,32,,,0.8310748853795211
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-32-n_epochs-10-seed-2,mnli,2,1239555,110681088,32,,,0.8323993886907795
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-32-n_epochs-10-seed-3,mnli,3,1239555,110681088,32,,,0.8202750891492613
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-32-n_epochs-10-seed-4,mnli,4,1239555,110681088,32,,,0.828731533367295
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-64-n_epochs-10-seed-0,mnli,0,2419971,111861504,64,,,0.8314824248599083
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-64-n_epochs-10-seed-1,mnli,1,2419971,111861504,64,,,0.8274070300560367
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-64-n_epochs-10-seed-2,mnli,2,2419971,111861504,64,,,0.8387162506367805
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-64-n_epochs-10-seed-3,mnli,3,2419971,111861504,64,,,0.8369842078451349
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-64-n_epochs-10-seed-4,mnli,4,2419971,111861504,64,,,0.8348446255731024
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-128-n_epochs-10-seed-0,mnli,0,4780803,114222336,128,,,0.8380030565461029
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-128-n_epochs-10-seed-1,mnli,1,4780803,114222336,128,,,0.8409577177789098
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-128-n_epochs-10-seed-2,mnli,2,4780803,114222336,128,,,0.840855832908813
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-128-n_epochs-10-seed-3,mnli,3,4780803,114222336,128,,,0.834538970962812
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-128-n_epochs-10-seed-4,mnli,4,4780803,114222336,128,,,0.8395313295975547
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-256-n_epochs-10-seed-0,mnli,0,9502467,118944000,256,,,0.8407539480387163
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-256-n_epochs-10-seed-1,mnli,1,9502467,118944000,256,,,0.8387162506367805
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-256-n_epochs-10-seed-2,mnli,2,9502467,118944000,256,,,0.8391237901171676
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-256-n_epochs-10-seed-3,mnli,3,9502467,118944000,256,,,0.8344370860927153
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-256-n_epochs-10-seed-4,mnli,4,9502467,118944000,256,,,0.8400407539480387
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-512-n_epochs-10-seed-0,mnli,0,18945795,128387328,512,,,0.8428935303107489
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-512-n_epochs-10-seed-1,mnli,1,18945795,128387328,512,,,0.8392256749872644
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-512-n_epochs-10-seed-2,mnli,2,18945795,128387328,512,,,0.8367804381049414
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-512-n_epochs-10-seed-3,mnli,3,18945795,128387328,512,,,0.8358634742740703
adapters,bert-base-uncased,bert-base-uncased-glue-mnli-adapters-bottleneck_size-512-n_epochs-10-seed-4,mnli,4,18945795,128387328,512,,,0.8419765664798777
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-1-n_epochs-10-seed-0,mnli,0,39171,109519104,,1,,0.7711665817626082
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-1-n_epochs-10-seed-1,mnli,1,39171,109519104,,1,,0.7718797758532858
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-1-n_epochs-10-seed-2,mnli,2,39171,109519104,,1,,0.7755476311767703
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-1-n_epochs-10-seed-3,mnli,3,39171,109519104,,1,,0.7705552725420275
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-1-n_epochs-10-seed-4,mnli,4,39171,109519104,,1,,0.7705552725420275
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-2-n_epochs-10-seed-0,mnli,0,76035,109555968,,2,,0.7873662761079979
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-2-n_epochs-10-seed-1,mnli,1,76035,109555968,,2,,0.782985226693836
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-2-n_epochs-10-seed-2,mnli,2,76035,109555968,,2,,0.7794192562404483
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-2-n_epochs-10-seed-3,mnli,3,76035,109555968,,2,,0.7827814569536424
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-2-n_epochs-10-seed-4,mnli,4,76035,109555968,,2,,0.7843097300050943
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-4-n_epochs-10-seed-0,mnli,0,149763,109629696,,4,,0.7911360163015793
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-4-n_epochs-10-seed-1,mnli,1,149763,109629696,,4,,0.79174732552216
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-4-n_epochs-10-seed-2,mnli,2,149763,109629696,,4,,0.7930718288334182
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-4-n_epochs-10-seed-3,mnli,3,149763,109629696,,4,,0.7926642893530311
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-4-n_epochs-10-seed-4,mnli,4,149763,109629696,,4,,0.7940906775343861
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-8-n_epochs-10-seed-0,mnli,0,297219,109777152,,8,,0.8034640855832909
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-8-n_epochs-10-seed-1,mnli,1,297219,109777152,,8,,0.7995924605196129
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-8-n_epochs-10-seed-2,mnli,2,297219,109777152,,8,,0.8027508914926134
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-8-n_epochs-10-seed-3,mnli,3,297219,109777152,,8,,0.8015282730514519
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-8-n_epochs-10-seed-4,mnli,4,297219,109777152,,8,,0.8057055527254203
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-16-n_epochs-10-seed-0,mnli,0,592131,110072064,,16,,0.817524197656648
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-16-n_epochs-10-seed-1,mnli,1,592131,110072064,,16,,0.8104941416199695
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-16-n_epochs-10-seed-2,mnli,2,592131,110072064,,16,,0.81650534895568
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-16-n_epochs-10-seed-3,mnli,3,592131,110072064,,16,,0.8135506877228732
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-16-n_epochs-10-seed-4,mnli,4,592131,110072064,,16,,0.8168110035659705
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-32-n_epochs-10-seed-0,mnli,0,1181955,110661888,,32,,0.8227203260315843
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-32-n_epochs-10-seed-1,mnli,1,1181955,110661888,,32,,0.8225165562913908
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-32-n_epochs-10-seed-2,mnli,2,1181955,110661888,,32,,0.8246561385634233
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-32-n_epochs-10-seed-3,mnli,3,1181955,110661888,,32,,0.8249617931737137
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-32-n_epochs-10-seed-4,mnli,4,1181955,110661888,,32,,0.8269994905756495
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-64-n_epochs-10-seed-0,mnli,0,2361603,111841536,,64,,0.8312786551197148
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-64-n_epochs-10-seed-1,mnli,1,2361603,111841536,,64,,0.8300560366785532
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-64-n_epochs-10-seed-2,mnli,2,2361603,111841536,,64,,0.8354559347936832
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-64-n_epochs-10-seed-3,mnli,3,2361603,111841536,,64,,0.8279164544065206
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-64-n_epochs-10-seed-4,mnli,4,2361603,111841536,,64,,0.8316861946001018
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-128-n_epochs-10-seed-0,mnli,0,4720899,114200832,,128,,0.8376974019358125
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-128-n_epochs-10-seed-1,mnli,1,4720899,114200832,,128,,0.8366785532348446
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-128-n_epochs-10-seed-2,mnli,2,4720899,114200832,,128,,0.8382068262862965
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-128-n_epochs-10-seed-3,mnli,3,4720899,114200832,,128,,0.8357615894039735
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-128-n_epochs-10-seed-4,mnli,4,4720899,114200832,,128,,0.8392256749872644
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-256-n_epochs-10-seed-0,mnli,0,9439491,118919424,,256,,0.8391237901171676
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-256-n_epochs-10-seed-1,mnli,1,9439491,118919424,,256,,0.8400407539480387
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-256-n_epochs-10-seed-2,mnli,2,9439491,118919424,,256,,0.8411614875191035
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-256-n_epochs-10-seed-3,mnli,3,9439491,118919424,,256,,0.8364747834946511
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-256-n_epochs-10-seed-4,mnli,4,9439491,118919424,,256,,0.8404482934284259
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-512-n_epochs-10-seed-0,mnli,0,18876675,128356608,,512,,0.8401426388181356
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-512-n_epochs-10-seed-1,mnli,1,18876675,128356608,,512,,0.8367804381049414
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-512-n_epochs-10-seed-2,mnli,2,18876675,128356608,,512,,0.840855832908813
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-512-n_epochs-10-seed-3,mnli,3,18876675,128356608,,512,,0.8291390728476821
lora,bert-base-uncased,bert-base-uncased-glue-mnli-lora-rank-512-n_epochs-10-seed-4,mnli,4,18876675,128356608,,512,,0.8422822210901681
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-1-n_epochs-5-seed-0,mnli,0,7680771,109482240,,,1,0.7565970453387671
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-1-n_epochs-5-seed-1,mnli,1,7680771,109482240,,,1,0.7559857361181864
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-1-n_epochs-5-seed-2,mnli,2,7680771,109482240,,,1,0.7549668874172185
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-1-n_epochs-5-seed-3,mnli,3,7680771,109482240,,,1,0.7561895058583801
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-1-n_epochs-5-seed-4,mnli,4,7680771,109482240,,,1,0.7539480387162506
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-2-n_epochs-5-seed-0,mnli,0,14768643,109482240,,,2,0.7923586347427407
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-2-n_epochs-5-seed-1,mnli,1,14768643,109482240,,,2,0.7920529801324503
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-2-n_epochs-5-seed-2,mnli,2,14768643,109482240,,,2,0.7923586347427407
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-2-n_epochs-5-seed-3,mnli,3,14768643,109482240,,,2,0.7892002037697402
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-2-n_epochs-5-seed-4,mnli,4,14768643,109482240,,,2,0.7937850229240958
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-3-n_epochs-5-seed-0,mnli,0,21856515,109482240,,,3,0.8149770759042282
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-3-n_epochs-5-seed-1,mnli,1,21856515,109482240,,,3,0.8142638818135507
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-3-n_epochs-5-seed-2,mnli,2,21856515,109482240,,,3,0.8150789607743251
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-3-n_epochs-5-seed-3,mnli,3,21856515,109482240,,,3,0.807743250127356
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-3-n_epochs-5-seed-4,mnli,4,21856515,109482240,,,3,0.8167091186958737
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-4-n_epochs-5-seed-0,mnli,0,28944387,109482240,,,4,0.8275089149261334
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-4-n_epochs-5-seed-1,mnli,1,28944387,109482240,,,4,0.829240957717779
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-4-n_epochs-5-seed-2,mnli,2,28944387,109482240,,,4,0.8291390728476821
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-4-n_epochs-5-seed-3,mnli,3,28944387,109482240,,,4,0.8254712175241976
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-4-n_epochs-5-seed-4,mnli,4,28944387,109482240,,,4,0.8311767702496179
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-5-n_epochs-5-seed-0,mnli,0,36032259,109482240,,,5,0.8330106979113602
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-5-n_epochs-5-seed-1,mnli,1,36032259,109482240,,,5,0.8307692307692308
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-5-n_epochs-5-seed-2,mnli,2,36032259,109482240,,,5,0.833112582781457
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-5-n_epochs-5-seed-3,mnli,3,36032259,109482240,,,5,0.8277126846663271
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-5-n_epochs-5-seed-4,mnli,4,36032259,109482240,,,5,0.8359653591441671
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-6-n_epochs-5-seed-0,mnli,0,43120131,109482240,,,6,0.8374936321956189
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-6-n_epochs-5-seed-1,mnli,1,43120131,109482240,,,6,0.832093734080489
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-6-n_epochs-5-seed-2,mnli,2,43120131,109482240,,,6,0.8349465104431992
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-6-n_epochs-5-seed-3,mnli,3,43120131,109482240,,,6,0.8300560366785532
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-6-n_epochs-5-seed-4,mnli,4,43120131,109482240,,,6,0.8387162506367805
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-7-n_epochs-5-seed-0,mnli,0,50208003,109482240,,,7,0.8354559347936832
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-7-n_epochs-5-seed-1,mnli,1,50208003,109482240,,,7,0.8335201222618441
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-7-n_epochs-5-seed-2,mnli,2,50208003,109482240,,,7,0.8357615894039735
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-7-n_epochs-5-seed-3,mnli,3,50208003,109482240,,,7,0.83015792154865
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-7-n_epochs-5-seed-4,mnli,4,50208003,109482240,,,7,0.8393275598573612
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-8-n_epochs-5-seed-0,mnli,0,57295875,109482240,,,8,0.8388181355068772
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-8-n_epochs-5-seed-1,mnli,1,57295875,109482240,,,8,0.8347427407030056
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-8-n_epochs-5-seed-2,mnli,2,57295875,109482240,,,8,0.8396332144676516
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-8-n_epochs-5-seed-3,mnli,3,57295875,109482240,,,8,0.8322975038206827
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-8-n_epochs-5-seed-4,mnli,4,57295875,109482240,,,8,0.8436067244014264
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-9-n_epochs-5-seed-0,mnli,0,64383747,109482240,,,9,0.8429954151808456
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-9-n_epochs-5-seed-1,mnli,1,64383747,109482240,,,9,0.839429444727458
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-9-n_epochs-5-seed-2,mnli,2,64383747,109482240,,,9,0.8391237901171676
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-9-n_epochs-5-seed-3,mnli,3,64383747,109482240,,,9,0.8356597045338767
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-9-n_epochs-5-seed-4,mnli,4,64383747,109482240,,,9,0.8427916454406521
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-10-n_epochs-5-seed-0,mnli,0,71471619,109482240,,,10,0.84381049414162
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-10-n_epochs-5-seed-1,mnli,1,71471619,109482240,,,10,0.8401426388181356
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-10-n_epochs-5-seed-2,mnli,2,71471619,109482240,,,10,0.8410596026490066
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-10-n_epochs-5-seed-3,mnli,3,71471619,109482240,,,10,0.8386143657666837
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-10-n_epochs-5-seed-4,mnli,4,71471619,109482240,,,10,0.8434029546612328
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-11-n_epochs-5-seed-0,mnli,0,78559491,109482240,,,11,0.8439123790117168
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-11-n_epochs-5-seed-1,mnli,1,78559491,109482240,,,11,0.8407539480387163
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-11-n_epochs-5-seed-2,mnli,2,78559491,109482240,,,11,0.8404482934284259
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-11-n_epochs-5-seed-3,mnli,3,78559491,109482240,,,11,0.8348446255731024
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-11-n_epochs-5-seed-4,mnli,4,78559491,109482240,,,11,0.8442180336220071
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-12-n_epochs-5-seed-0,mnli,0,85647363,109482240,,,12,0.8435048395313296
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-12-n_epochs-5-seed-1,mnli,1,85647363,109482240,,,12,0.8407539480387163
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-12-n_epochs-5-seed-2,mnli,2,85647363,109482240,,,12,0.8390219052470708
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-12-n_epochs-5-seed-3,mnli,3,85647363,109482240,,,12,0.8368823229750382
vanilla,bert-base-uncased,bert-base-uncased-glue-mnli-top_k-12-n_epochs-5-seed-4,mnli,4,85647363,109482240,,,12,0.845746306673459
